user,item,score
587,1256,20.0
111,3247,70.0
1,2644,80.0
318,1625,70.0
169,2058,90.0
166,3439,70.0
59,3386,80.0
608,1282,40.0
29,2944,80.0
608,3440,10.0
68,2193,10.0
483,3479,80.0
57,2949,60.0
1,1473,80.0
43,362,100.0
182,1275,70.0
216,2716,60.0
313,3033,40.0
477,2115,80.0
1,1348,80.0
608,2291,70.0
274,2161,60.0
572,1196,100.0
510,1060,60.0
202,1396,60.0
411,223,80.0
287,608,90.0
1,2502,100.0
606,110,70.0
134,590,100.0
453,1042,60.0
377,1032,80.0
266,1298,100.0
84,1023,60.0
202,5060,80.0
561,3441,90.0
220,2450,10.0
1,3729,100.0
249,101,60.0
330,3147,80.0
68,2329,50.0
292,2993,80.0
232,2078,60.0
369,1500,90.0
304,2141,80.0
610,3740,90.0
33,2580,100.0
484,1213,90.0
571,1214,40.0
414,1097,80.0
91,1240,90.0
292,1210,80.0
57,151,60.0
474,596,40.0
265,1620,60.0
414,1024,80.0
357,441,100.0
482,1517,80.0
217,1265,60.0
607,3273,80.0
27,2046,80.0
36,919,30.0
93,1049,80.0
292,2797,70.0
1,2099,80.0
290,3702,80.0
68,50,60.0
387,954,60.0
226,2005,100.0
474,2648,70.0
432,2018,70.0
198,2478,40.0
368,2616,40.0
368,1804,40.0
266,2253,20.0
592,780,100.0
313,4006,100.0
82,1573,80.0
561,47,90.0
442,1644,10.0
223,367,30.0
414,3253,60.0
599,3450,50.0
232,2096,50.0
217,1445,20.0
474,1224,80.0
448,2366,100.0
221,1206,90.0
438,1552,70.0
561,1967,80.0
239,3448,80.0
522,3243,30.0
170,553,80.0
19,2387,60.0
42,2492,20.0
560,923,80.0
33,2028,100.0
380,2048,80.0
453,1793,80.0
230,2987,50.0
36,2012,40.0
202,1954,80.0
474,940,70.0
160,2414,60.0
560,70,80.0
606,296,100.0
356,1031,100.0
492,648,80.0
64,3809,80.0
307,157,40.0
151,661,60.0
217,349,80.0
462,527,30.0
479,2529,60.0
215,1777,90.0
380,1920,80.0
437,736,100.0
368,3176,60.0
562,2654,90.0
222,1270,90.0
140,1,60.0
484,216,90.0
489,1198,80.0
68,1732,10.0
1,423,60.0
608,231,60.0
91,1092,90.0
201,2054,80.0
177,2692,70.0
607,2858,60.0
480,3052,20.0
414,1278,80.0
64,1029,80.0
334,2959,70.0
247,1197,100.0
483,673,50.0
412,2528,40.0
373,500,40.0
226,543,80.0
452,2657,100.0
582,593,80.0
7,480,100.0
182,2948,80.0
504,2174,60.0
217,2899,60.0
475,3793,100.0
288,2427,60.0
169,1220,80.0
249,2143,70.0
219,1805,80.0
155,3744,80.0
368,1208,100.0
1,1408,60.0
462,1089,70.0
260,3578,40.0
328,1291,80.0
239,2985,60.0
590,2991,60.0
1,2093,60.0
577,1030,60.0
380,2139,80.0
561,2916,60.0
607,457,100.0
156,3168,60.0
80,2470,80.0
266,2947,100.0
112,6,90.0
484,333,80.0
462,2997,70.0
1,2000,80.0
354,1219,80.0
332,2542,80.0
19,3034,60.0
104,592,60.0
354,1580,70.0
580,1136,100.0
346,1080,80.0
140,3062,80.0
51,2826,70.0
294,2628,80.0
517,1025,50.0
57,1127,80.0
1,1226,100.0
377,2105,80.0
41,2268,50.0
482,2353,80.0
226,2596,80.0
186,1676,80.0
555,3703,80.0
562,2459,80.0
91,163,100.0
237,3617,50.0
590,2338,20.0
449,1090,70.0
489,2273,30.0
102,552,60.0
469,1617,100.0
558,1073,100.0
580,2640,60.0
274,3639,80.0
249,2389,50.0
294,316,60.0
605,943,60.0
534,3489,90.0
425,356,100.0
480,2094,60.0
606,235,70.0
438,733,90.0
313,2116,100.0
182,3527,30.0
177,2090,80.0
51,2033,90.0
41,6874,100.0
401,112552,60.0
2,77455,60.0
495,89774,100.0
274,318,90.0
298,86345,80.0
2,79132,80.0
63,74458,80.0
560,106782,80.0
52,48516,80.0
233,115713,20.0
67,68157,80.0
596,91529,70.0
47,91658,50.0
317,80906,100.0
62,60756,70.0
285,1704,80.0
139,99114,50.0
448,8798,60.0
272,109487,70.0
2,131724,100.0
448,114060,60.0
3,5746,100.0
3,7991,100.0
382,70946,10.0
606,1124,70.0
3,7899,90.0
161,2424,60.0
66,1302,90.0
137,1272,100.0
576,720,60.0
474,3210,40.0
288,688,60.0
186,5181,80.0
313,1587,100.0
357,2080,70.0
3,3024,90.0
3,26409,90.0
18,849,70.0
414,1093,60.0
377,1371,90.0
28,72378,40.0
188,914,100.0
203,31,70.0
187,1263,40.0
480,3949,70.0
599,6238,50.0
414,2282,60.0
288,1883,60.0
275,3967,80.0
469,2204,80.0
288,3591,40.0
202,3255,80.0
95,176,80.0
346,3160,90.0
4,4074,60.0
64,1079,90.0
477,2109,70.0
4,351,60.0
64,1266,70.0
409,2973,80.0
57,2150,80.0
489,902,100.0
398,3911,70.0
474,1834,80.0
288,3317,90.0
606,2351,80.0
436,588,60.0
4,937,60.0
57,3044,80.0
275,2599,40.0
4,3083,100.0
302,260,100.0
202,509,60.0
600,2571,60.0
275,190,60.0
198,4381,40.0
325,1211,80.0
555,800,60.0
6,450,80.0
156,1084,100.0
391,930,100.0
290,599,80.0
19,348,40.0
561,2762,80.0
585,2076,80.0
63,912,80.0
287,3358,70.0
32,708,80.0
19,2186,80.0
599,2583,50.0
483,1907,70.0
335,2770,20.0
474,1086,80.0
414,3365,80.0
4,1914,80.0
474,4020,60.0
45,4034,80.0
610,1279,100.0
148,4308,80.0
4,171,60.0
57,904,100.0
603,899,80.0
4,4252,60.0
414,4029,100.0
19,1895,40.0
606,1188,60.0
38,222,60.0
4,4021,80.0
480,1641,50.0
70,1288,80.0
405,1391,70.0
480,2683,90.0
474,898,80.0
597,2791,100.0
438,4033,70.0
372,417,60.0
202,1179,80.0
84,232,100.0
599,4881,60.0
490,4246,50.0
232,4002,70.0
4,4273,80.0
177,1203,90.0
391,2145,100.0
19,2203,60.0
602,357,80.0
559,475,100.0
275,1466,60.0
490,3481,80.0
334,2843,80.0
216,2926,60.0
4,162,100.0
489,2336,80.0
4,759,60.0
64,1968,70.0
260,4641,100.0
480,1449,80.0
182,45,60.0
114,4896,80.0
369,1077,70.0
88,3897,80.0
202,2921,80.0
422,3175,60.0
387,1916,60.0
159,4014,40.0
513,1225,100.0
599,215,90.0
372,892,80.0
4,1947,100.0
579,538,60.0
580,1860,70.0
570,342,50.0
68,1597,60.0
262,125,40.0
288,2359,80.0
103,492,80.0
4,4260,40.0
202,3204,80.0
27,126,40.0
156,3060,80.0
597,1885,80.0
246,4239,70.0
474,4967,70.0
132,4741,60.0
140,920,100.0
587,2874,80.0
555,2406,60.0
412,2390,60.0
606,3538,80.0
445,4027,60.0
309,1283,100.0
50,32,60.0
23,2019,60.0
457,2712,60.0
221,58,90.0
219,2763,70.0
4,1734,60.0
4,910,100.0
301,3996,80.0
156,1966,100.0
606,4144,90.0
290,1250,100.0
85,1719,100.0
603,1733,80.0
474,247,80.0
474,3788,60.0
264,595,80.0
4,3508,100.0
103,539,70.0
84,319,80.0
561,2395,80.0
202,1259,100.0
595,1094,80.0
4,1046,100.0
312,1183,100.0
4,3851,100.0
391,1892,60.0
330,4902,80.0
4,1057,60.0
330,2324,100.0
393,4226,100.0
4,4121,80.0
221,1103,80.0
246,3079,80.0
603,253,60.0
274,380,80.0
584,589,100.0
68,39,80.0
448,594,80.0
476,474,80.0
304,36,20.0
602,153,80.0
382,150,80.0
453,597,80.0
474,534,100.0
176,344,40.0
240,410,60.0
117,531,60.0
489,266,70.0
603,265,40.0
195,300,80.0
386,292,20.0
6,881,60.0
109,361,60.0
436,234,20.0
191,140,60.0
437,302,60.0
600,145,50.0
288,205,70.0
207,637,20.0
6,835,80.0
19,490,40.0
288,466,60.0
33,838,100.0
492,662,80.0
155,575,60.0
437,43,60.0
446,236,60.0
297,100,20.0
402,667,60.0
6,359,60.0
6,209,60.0
6,310,60.0
117,237,60.0
179,113,60.0
308,355,60.0
321,440,60.0
43,262,100.0
402,61,100.0
307,230,60.0
600,4,30.0
6,254,60.0
596,616,80.0
325,312,40.0
6,201,60.0
57,991,60.0
608,508,80.0
222,485,50.0
6,210,80.0
307,505,40.0
411,419,40.0
6,352,60.0
45,783,60.0
414,710,40.0
436,239,60.0
414,358,60.0
40,330,60.0
388,631,20.0
6,510,60.0
524,405,40.0
592,540,60.0
414,537,80.0
6,536,60.0
217,267,20.0
6,159,60.0
429,381,80.0
6,181,60.0
444,185,60.0
501,628,60.0
219,520,80.0
395,339,80.0
181,371,80.0
19,711,60.0
226,569,60.0
448,66,40.0
455,11,80.0
113,25,20.0
242,225,80.0
605,317,70.0
274,818,40.0
470,41,60.0
117,747,60.0
136,174,60.0
414,765,40.0
368,303,20.0
6,795,60.0
216,497,80.0
414,374,20.0
483,135,70.0
226,65,60.0
588,217,20.0
509,837,70.0
