K值,pearson,cosine
10,17.85738807979068,18.53491198950061
11,17.849845249026426,18.47496848296645
12,17.838726621544495,18.426980144954175
13,17.8351227943853,18.418835389122034
14,17.829007131871048,18.407756052903057
15,17.826180901179743,18.382111411971195
16,17.824856281485634,18.36896615920299
17,17.827594552022457,18.356788244898503
18,17.82734344508394,18.331334735666417
19,17.831248846214525,18.32166808222671
20,17.830162131110114,18.317572883613625
21,17.827977765819025,18.316874557338473
22,17.82928567284267,18.294073539002074
23,17.826345627783088,18.283581460267328
24,17.826899549863864,18.27654417183535
25,17.82422059007793,18.27887167008264
26,17.824641087357,18.279129858117894
27,17.82504188046673,18.292401892278903
28,17.825804934865328,18.29060004179667
29,17.825685543343543,18.28353313232221
30,17.82642856687325,18.270955513481674
