user,item,score,predicted_score
1,1282,100.0,96.51872550563448
1,3479,80.0,85.23697911506096
1,1023,100.0,86.00638659373467
1,2450,80.0,58.0068856588324
1,2078,100.0,100.0
1,1213,100.0,92.05516468368627
1,919,100.0,99.92114592205873
1,2797,80.0,90.22793873511498
1,2253,40.0,59.61150931772836
1,47,100.0,96.2315843627506
1,2096,80.0,95.2792218211064
1,1967,80.0,100.0
1,70,60.0,94.67705006402045
1,1031,100.0,92.6934447038097
1,1920,80.0,65.83616419473762
1,673,60.0,63.61255515443973
1,1089,100.0,100.0
1,2985,80.0,89.04959992504365
1,1580,60.0,80.99286969237157
1,2826,80.0,77.72046411131942
1,1127,80.0,94.31042861176948
1,316,60.0,69.20878497214831
2,6874,80.0,79.88736978483607
2,86345,80.0,81.05194365208341
2,106782,100.0,70.07396514343486
3,1124,10.0,29.023607855919177
3,1093,10.0,20.156708101590144
3,3949,10.0,17.732579365180897
4,2109,80.0,65.35413724842462
4,599,40.0,97.68911349553689
4,2762,80.0,62.45917070231099
4,708,80.0,56.88008106225492
4,2186,100.0,92.0817849661536
4,4034,100.0,68.82184407180821
4,1279,40.0,95.042673822008
4,1641,80.0,91.30646842370375
4,1288,80.0,83.29399395989482
4,47,40.0,64.14544002721793
4,3481,40.0,78.03698306288932
4,2843,100.0,55.41755922760379
4,1968,80.0,75.66120329687325
4,3176,80.0,42.00131904126987
4,1225,80.0,93.65541497806994
4,1080,100.0,77.71594807931614
4,1704,20.0,91.14949316253175
4,3204,80.0,85.35052207818296
4,126,20.0,46.15064964319727
4,1885,60.0,55.249262363537824
4,4741,60.0,76.74379886174702
4,539,20.0,82.20550567767867
4,2395,60.0,64.66444452712051
4,3079,60.0,51.38183230892882
5,253,60.0,67.92245099403215
5,592,60.0,61.270223213847466
5,58,100.0,84.11503614126777
5,527,100.0,100.0
5,153,60.0,41.28676775339473
5,588,80.0,81.66272598567075
5,265,60.0,84.3428107739469
6,292,80.0,81.86884939465051
6,780,100.0,94.05557136005162
6,575,60.0,64.14271937273266
6,596,60.0,80.41457513476453
6,262,100.0,81.33656351957251
6,419,60.0,56.499500218405444
