user,item,score,predicted_score
1,1282,100.0,92.39925797663126
1,3479,80.0,93.5166542644696
1,1023,100.0,91.34904479275775
1,2450,80.0,62.48122862843928
1,2078,100.0,100.0
1,1213,100.0,97.746830710578
1,919,100.0,86.03904119842264
1,2797,80.0,97.99582163614535
1,2253,40.0,73.4675530037301
1,47,100.0,100.0
1,2096,80.0,89.21920053364502
1,1967,80.0,100.0
1,70,60.0,76.21934386944467
1,1031,100.0,90.16228994089106
1,1920,80.0,78.45157264177942
1,673,60.0,62.17604624615461
1,1089,100.0,96.44274042262413
1,2985,80.0,69.68766054610086
1,1580,60.0,83.72007477572672
1,2826,80.0,68.77900040529897
1,1127,80.0,89.84105106520498
1,316,60.0,88.64120509332234
2,6874,80.0,89.03335063418425
2,86345,80.0,87.56536236172494
2,106782,100.0,65.80142268631307
3,1124,10.0,10.0
3,1093,10.0,45.50230823366462
3,3949,10.0,48.893463223260035
4,2109,80.0,77.2205198656532
4,599,40.0,83.65813728341527
4,2762,80.0,78.64946945792676
4,708,80.0,57.307375876430754
4,2186,100.0,85.54165061399655
4,4034,100.0,66.44304686533152
4,1279,40.0,81.04157726294729
4,1641,80.0,79.99988630806979
4,1288,80.0,78.82875176898457
4,47,40.0,73.82029763295863
4,3481,40.0,75.94162888178764
4,2843,100.0,50.33509072978319
4,1968,80.0,65.00489102569315
4,3176,80.0,47.493511469198495
4,1225,80.0,89.56071647453962
4,1080,100.0,78.01087822721918
4,1704,20.0,78.05960071834568
4,3204,80.0,77.84948360425737
4,126,20.0,47.010836908885665
4,1885,60.0,70.05572834041283
4,4741,60.0,97.05346781780916
4,539,20.0,82.687114861329
4,2395,60.0,72.02098376650125
4,3079,60.0,49.092795849580575
5,253,60.0,60.66435160216435
5,592,60.0,66.09193140221397
5,58,100.0,83.6237112251348
5,527,100.0,100.0
5,153,60.0,56.10370589600703
5,588,80.0,74.43750069668543
5,265,60.0,77.10320943924877
6,292,80.0,76.41255738380825
6,780,100.0,95.58911560850113
6,575,60.0,59.00182089680193
6,596,60.0,73.31062362759482
6,262,100.0,78.9784357957079
6,419,60.0,59.93429732463387
6,339,80.0,67.07993935222598
6,371,60.0,82.42180247985905
6,174,60.0,53.5809263870336
6,354,80.0,60.76710586321108
6,799,60.0,80.68932221146595
6,880,60.0,52.06485142716316
6,357,60.0,58.38233562859541
6,509,60.0,61.06485438148316
6,364,100.0,79.89395018035894
6,996,80.0,51.76622431851449
6,204,60.0,55.115308692666375
6,830,100.0,65.68130792574648
6,22,100.0,66.68005685842373
6,704,60.0,44.34913430191932
6,475,80.0,95.82505454313113
6,150,80.0,76.10748639619138
6,45,60.0,70.6951679981977
7,6539,90.0,75.4743023156387
7,32587,70.0,71.93535465279986
7,4018,80.0,53.10943205122225
7,2701,30.0,46.55504494663572
7,32296,40.0,41.15824948685709
7,3977,50.0,43.589654615942564
7,46530,20.0,61.77972476590891
8,34,100.0,80.22606708668724
8,186,80.0,60.55959917332735
8,50,100.0,81.9712342385053
8,11,80.0,73.67891642780155
8,377,80.0,66.82741254801059
8,110,60.0,74.13107480173157
9,6001,80.0,87.69701418472013
9,2011,60.0,80.04168043287711
9,4558,20.0,59.67152318246082
9,5893,80.0,30.34722222222223
10,912,80.0,81.59963201627212
10,356,70.0,84.43560389967784
10,98203,60.0,24.821444161548946
10,92259,100.0,67.97189554130372
10,60397,60.0,62.63163776738419
10,81845,100.0,56.837307081444145
10,2571,10.0,70.93204821548163
10,81784,50.0,26.95431413408695
10,105211,50.0,78.8160232274487
10,6535,80.0,59.99637039521788
10,95167,80.0,59.863827300419885
11,318,80.0,96.69502755418085
11,480,80.0,76.05405776360678
11,208,60.0,48.86062785579013
11,2002,40.0,64.15799808760698
11,36,80.0,69.67035975465436
12,63992,100.0,80.39413777039906
12,4018,90.0,83.64364204393405
12,40629,100.0,96.53310308231305
13,2571,100.0,94.9683753665498
13,3952,60.0,72.24860412600702
14,282,100.0,69.21242876788443
14,455,60.0,44.50899080273203
14,376,80.0,67.1574249072028
15,2150,100.0,81.57329015115513
15,1527,60.0,65.71686414991913
15,6874,60.0,79.07265672382505
15,3555,80.0,77.19547456263147
15,3617,30.0,70.75416148168237
15,172,20.0,50.179971306455506
15,4993,70.0,83.14926700620727
15,47,70.0,74.632190405033
15,110102,30.0,64.91494303548114
15,122924,20.0,67.82366239068635
15,6377,60.0,62.03122360226959
15,59315,40.0,66.32344625012465
15,94864,60.0,56.58204289477979
16,7361,70.0,83.29866835487002
16,293,80.0,76.68983145120836
16,1252,90.0,77.92942976031043
16,923,70.0,81.66779154110787
16,2019,80.0,78.93384829805805
16,1213,70.0,66.14493733755843
16,2641,60.0,68.06049371466361
16,318,80.0,80.75815671322083
16,1186,70.0,84.55162849283722
16,1198,70.0,81.27286176779688
16,527,80.0,62.574645543169346
16,1276,80.0,81.82906313398477
17,590,90.0,89.73359555583262
17,2571,100.0,97.7197459284054
17,150,70.0,76.58151795832656
17,1221,90.0,100.0
17,111,80.0,100.0
17,293,70.0,90.77190540735727
17,2329,90.0,91.78649484818172
18,85414,70.0,76.37381274225363
18,79695,70.0,62.250834956690255
18,57640,70.0,88.86638658398392
18,1252,80.0,77.58455922892261
18,2953,60.0,67.70178974571294
18,3275,90.0,84.5555987165512
18,6377,80.0,91.16160726231692
18,109487,90.0,82.74106847661875
18,53464,50.0,54.94857159406651
18,51540,90.0,79.72429204996585
18,3081,80.0,77.05350515977194
18,38061,80.0,83.89489626357842
18,104879,60.0,80.23879045054974
18,98809,80.0,80.98506060066795
18,3578,90.0,86.16686299126614
18,91485,70.0,70.54752161347984
18,1089,80.0,81.98453691590795
18,27773,70.0,91.84775562147478
18,380,50.0,65.78739297377555
18,56757,80.0,77.5145683581973
18,5349,80.0,71.81095988113327
18,223,80.0,82.74085659325333
18,97752,70.0,83.59534080876274
18,6378,60.0,70.59665250886759
18,1036,80.0,90.95316119227115
18,1704,80.0,81.67045574226105
18,6539,90.0,77.95436935158986
18,5956,80.0,80.22569343283234
18,6373,70.0,55.57182961420018
18,7323,60.0,84.67119798805625
18,51662,70.0,76.38239998501747
18,74789,70.0,65.51394447223373
18,8984,60.0,78.00938519110512
18,112421,80.0,98.6207402260743
18,8644,70.0,71.69907926590533
18,122886,80.0,67.89070232555119
18,6888,10.0,55.80165630345359
18,71156,60.0,71.5200723943448
18,112183,70.0,91.11643350999798
18,116797,90.0,85.1595989836093
18,148626,80.0,85.79236191241172
18,7317,60.0,71.84928031343098
18,88129,60.0,85.95095793171174
18,122918,80.0,81.08072620238337
18,2194,70.0,88.2978922915224
18,2422,60.0,47.24211610129822
19,3534,40.0,47.119966864371975
19,551,100.0,66.73446679063905
19,2244,40.0,10.0
19,745,80.0,79.37605623994622
19,911,60.0,60.92197915015785
19,1037,20.0,35.90395897165587
19,611,40.0,31.95683957726241
19,32,80.0,66.21349026476048
19,1614,40.0,48.933693963415365
19,2723,100.0,45.400859250424666
19,2700,80.0,67.29012087237847
19,2628,60.0,58.16992227170107
19,2867,60.0,54.345600586431395
19,921,60.0,46.91867656630447
19,2169,40.0,41.59906540356968
19,2446,40.0,39.27066133287939
19,2321,60.0,55.79126627647733
19,2335,60.0,58.827028981704075
19,1885,40.0,47.61406359901309
19,500,40.0,46.73446679063905
19,366,40.0,40.868973120155694
19,2148,40.0,59.99241887871478
19,1089,60.0,77.68708517989728
19,2572,60.0,51.909140447393945
19,2640,60.0,65.15924650993547
19,2193,60.0,64.56380630306226
19,1591,40.0,42.08152640488536
19,161,40.0,52.36183784489027
19,1806,40.0,36.966055665100185
19,3825,60.0,28.174421553991976
19,10,40.0,50.32835704868009
19,432,60.0,19.27482262756329
19,3424,40.0,54.9201202186724
19,785,40.0,55.07579065078881
19,3705,40.0,36.43688539755111
19,542,40.0,39.75187440643974
19,3686,60.0,49.196900814806874
19,2012,60.0,44.031567571546184
19,3190,20.0,14.357144552349013
19,3745,80.0,56.43425690289151
19,2072,40.0,38.494309725061285
19,2338,20.0,25.742717156369476
19,3254,40.0,43.67516519460762
19,1291,100.0,72.10348486177816
19,252,60.0,41.43276069237778
19,1210,60.0,70.55111290292524
19,3253,40.0,53.93251442803961
19,2668,40.0,48.749491652106244
19,931,80.0,57.31711019918747
